date_only,avg_sentiment,post_count,stock
2021-05-20,0.08036666666666667,3,AMC
2021-05-21,0.1806,2,AMC
2021-05-22,0.05856666666666668,3,AMC
2021-05-23,0.5994,1,AMC
2021-05-24,0.0,1,AMC
2021-05-25,-0.5267,1,AMC
2021-05-26,0.26915,10,AMC
2021-05-27,0.09268333333333334,12,AMC
2021-05-28,0.21177142857142858,35,AMC
2021-05-29,0.35451666666666665,12,AMC
2021-05-30,0.22782,5,AMC
2021-06-01,0.5089333333333333,3,AMC
2021-06-10,0.270675,4,AMC
2021-06-11,0.19417916666666665,24,AMC
2021-06-12,0.12536666666666665,12,AMC
2021-06-15,0.155275,4,AMC
2021-06-16,0.25960666666666665,15,AMC
2021-06-17,0.21944,10,AMC
2021-06-18,0.20417333333333332,15,AMC
2021-06-19,0.20311428571428572,7,AMC
2021-06-20,0.30842,5,AMC
2021-06-21,0.3275,4,AMC
2021-06-22,0.33,6,AMC
2021-06-23,0.09581999999999999,5,AMC
2021-06-24,0.10903333333333332,3,AMC
2021-06-25,0.16846,5,AMC
2021-06-26,0.239775,4,AMC
2021-06-29,0.13914444444444443,9,AMC
2021-06-30,0.4019,1,AMC
2021-07-01,0.4212666666666667,3,AMC
2021-07-02,0.25301666666666667,6,AMC
2021-07-03,0.54635,2,AMC
2021-07-04,-0.2732,1,AMC
2021-07-05,0.4215,1,AMC
2021-07-06,0.3013,4,AMC
2021-07-07,0.13419999999999999,2,AMC
2021-07-08,0.18556,5,AMC
2021-07-09,0.4286,4,AMC
2021-07-10,0.20095,2,AMC
2021-07-12,0.6093000000000001,3,AMC
2021-07-13,0.3731333333333333,3,AMC
2021-07-14,0.26586666666666664,3,AMC
2021-07-15,0.016877777777777776,9,AMC
2021-07-16,0.24476,5,AMC
2021-07-19,0.31606666666666666,3,AMC
2021-07-20,-0.1531,1,AMC
2021-08-04,0.2301,2,AMC
2021-08-05,0.21075,2,AMC
2021-08-06,0.52095,2,AMC
2021-08-07,-0.2263,1,AMC
2021-08-08,0.4019,1,AMC
2021-08-09,0.21075,2,AMC
2021-08-10,0.11827499999999999,4,AMC
2021-08-11,0.4215,1,AMC
2021-08-15,0.0,1,AMC
